municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh,km_label,km_trimmed_label,km_s_label,hc_label,hc_s_label,hc_n5_label,km_n4_label,km_n5_label
Townsend,886.0,92.4,21.3,1007.0,3.1,72500.0,83552.0,0.0,5.8,572.0,95.5,70.6,2.1,0.0,5.6,3.1,0.0,18.5,0.0,0.0,71.2,28.8,1310.0,85.3,39.3,95.4,1.6,0.0,2.9,0.0,0.1,6.5,15.0,16.0,67.0,0.850333333,0,2,3,0,0,4,0,0
Bourne,1145.0,100.0,53.0,1189.0,4.7,51595.0,71079.0,4.5,7.2,1181.0,66.1,84.2,2.5,1.2,2.5,1.1,6.5,2.0,0.0,0.0,78.1,21.9,1408.0,71.7,63.2,100.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,15.0,63.0,1.706473264,0,2,0,0,2,4,0,0
Duxbury,1138.0,97.5,78.6,1356.0,9.6,147404.0,216127.0,3.4,4.0,715.0,87.8,89.7,2.5,2.5,0.0,5.3,0.0,0.0,0.0,0.0,89.8,10.2,1567.0,100.1,53.2,98.5,0.0,0.0,1.5,0.0,0.0,1.1,19.0,20.0,60.0,0.7935147220000001,3,4,3,2,3,0,2,4
Marblehead,14715.0,98.6,71.3,16510.0,4.9,123333.0,172829.0,2.7,4.4,8716.0,93.2,69.5,5.0,8.3,10.8,4.3,1.0,1.1,0.0,0.0,77.8,22.2,20500.0,88.9,47.9,96.5,1.7,0.0,2.2,0.0,0.5,5.0,27.0,14.0,58.0,0.8559275,5,0,3,2,3,0,2,1
Lawrence,49650.0,67.0,10.8,61396.0,9.3,44613.0,59685.0,19.0,21.4,27681.0,93.8,20.1,7.3,14.7,30.4,7.8,5.0,14.5,0.1,0.1,31.0,69.0,79942.0,95.8,32.3,55.2,7.6,0.5,1.9,0.3,37.6,80.6,53.0,5.0,41.0,1.5874349769999998,4,3,2,1,1,1,3,3
Maynard,7815.0,96.5,51.1,8671.0,1.2,105254.0,127380.0,3.1,3.8,4667.0,91.3,58.0,9.1,10.4,4.1,8.7,6.9,2.9,0.0,0.0,78.8,21.2,10754.0,95.2,41.7,93.8,2.2,0.4,1.9,0.0,3.4,3.4,31.0,10.0,58.0,1.157124577,2,0,1,0,0,2,0,1
Upton,1806.0,97.7,50.7,1927.0,4.9,89507.0,120387.0,0.0,2.6,1053.0,91.1,58.7,6.1,15.2,8.6,5.6,0.0,5.8,0.0,0.0,63.5,36.5,2292.0,137.0,47.9,97.9,2.4,0.0,0.0,0.0,0.7,7.9,18.0,15.0,65.0,0.938342445,2,2,1,0,2,2,0,0
Revere,38991.0,84.0,22.9,43947.0,5.4,62568.0,81075.0,10.2,12.7,20559.0,93.5,28.8,5.5,25.6,12.4,4.1,2.5,20.1,1.0,0.0,49.9,50.1,53692.0,101.3,39.2,83.1,9.0,0.9,5.4,0.1,7.0,33.6,42.0,7.0,50.0,1.014210346,4,5,2,1,1,1,3,3
Medford,41431.0,92.9,53.8,49853.0,2.8,96455.0,120481.0,3.8,8.8,24108.0,95.1,32.5,8.3,27.8,8.5,2.8,2.6,17.3,0.2,0.0,56.2,43.8,57637.0,96.1,35.3,79.0,11.4,0.7,11.8,0.1,1.7,6.5,42.0,6.0,51.0,1.0617743590000002,4,5,5,1,1,1,3,3
Marlborough,28395.0,92.0,39.0,32508.0,4.0,80943.0,102739.0,4.0,5.6,16986.0,92.6,47.4,6.4,8.2,5.8,5.2,10.9,13.3,2.9,0.0,58.2,41.8,39736.0,94.0,39.8,78.8,5.9,0.6,6.0,0.1,13.0,15.1,29.0,11.0,59.0,1.060166667,2,5,5,1,0,1,0,0
Brookfield,534.0,92.3,22.8,598.0,0.0,64063.0,74117.0,9.4,6.2,320.0,100.0,62.5,2.8,13.1,21.6,0.0,0.0,0.0,0.0,0.0,61.9,38.1,690.0,115.6,34.3,94.5,1.4,0.0,7.5,0.0,0.0,0.0,18.0,14.0,67.0,1.075172414,0,2,1,0,0,4,0,0
Holyoke,26855.0,79.4,21.5,31987.0,6.0,40769.0,59685.0,25.4,29.3,16981.0,90.0,32.9,4.0,14.4,11.1,16.7,9.7,11.1,0.1,0.0,40.7,59.3,40241.0,94.0,35.2,89.7,6.3,0.8,1.1,0.1,5.0,53.9,41.0,8.0,50.0,0.956486432,0,5,2,1,1,1,0,0
Weymouth,41855.0,93.8,39.2,47753.0,5.8,84942.0,100858.0,4.3,6.0,24570.0,96.6,57.1,4.7,6.0,3.0,3.8,5.5,19.5,0.4,0.0,67.0,33.0,56734.0,90.4,42.4,85.7,6.3,0.3,7.5,0.2,1.8,3.8,29.0,10.0,60.0,1.173808767,4,5,5,1,0,1,3,3
Brookline,40345.0,97.4,83.5,49161.0,2.8,117326.0,171664.0,6.3,12.3,25963.0,94.1,18.4,5.4,7.7,14.0,15.4,6.7,32.3,0.0,0.1,48.9,51.1,59180.0,88.9,33.7,76.3,4.7,1.0,20.8,0.2,2.6,6.8,48.0,6.0,46.0,0.979263711,5,5,5,1,1,1,2,1
Warren,435.0,100.0,16.3,435.0,19.5,21000.0,37634.0,0.0,17.1,396.0,75.3,41.7,0.0,22.5,16.9,6.3,6.3,6.3,0.0,0.0,50.7,49.3,510.0,78.9,42.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,66.0,1.114723183,0,2,1,0,0,4,0,0
Orange,2748.0,92.2,16.1,3137.0,8.6,57547.0,67055.0,4.8,9.4,1706.0,90.9,57.9,0.6,20.7,12.3,5.9,0.9,0.0,1.6,0.0,68.5,31.5,3772.0,92.6,43.1,97.1,0.8,0.8,3.4,0.0,0.0,3.0,19.0,11.0,67.0,0.828815903,0,2,1,0,0,4,0,0
Boxford,1668.0,98.5,61.0,1972.0,6.5,192417.0,237254.0,0.0,0.0,795.0,100.0,97.1,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2585.0,99.0,46.7,96.5,2.7,2.7,3.9,0.0,0.0,1.5,16.0,20.0,63.0,1.0612672920000001,3,4,3,2,3,0,2,4
Petersham,202.0,98.0,45.5,238.0,0.0,66458.0,115142.0,0.0,4.3,120.0,84.2,86.7,0.0,2.5,10.8,0.0,0.0,0.0,0.0,0.0,76.2,23.8,259.0,89.1,51.4,98.8,5.0,0.0,0.0,0.0,0.0,8.5,23.0,12.0,63.0,1.010719178,2,2,0,0,2,4,0,0
Lynnfield,8690.0,96.7,55.1,9987.0,5.2,128641.0,175613.0,1.9,2.0,4879.0,94.1,79.9,3.6,1.3,1.5,0.8,1.0,12.0,0.0,0.0,85.1,14.9,12894.0,93.1,43.6,93.7,2.4,0.4,5.3,0.0,0.2,2.4,19.0,18.0,62.0,1.317186207,5,0,3,2,3,0,2,1
West Springfield,20231.0,89.6,33.7,23432.0,5.6,53053.0,76180.0,7.5,11.3,12903.0,97.7,52.4,3.3,9.7,10.0,6.3,2.9,13.8,1.7,0.0,58.8,41.2,28609.0,95.3,41.0,89.8,4.5,0.9,5.0,0.7,2.7,10.6,27.0,14.0,57.0,1.054472912,0,2,1,0,0,2,0,0
Springfield,95914.0,78.6,18.5,120093.0,8.2,39432.0,55658.0,22.1,26.9,62042.0,90.8,43.0,3.8,20.4,9.9,9.1,2.7,10.1,0.9,0.1,46.6,53.4,154139.0,91.7,33.4,66.7,24.3,1.1,3.3,0.2,9.1,45.0,48.0,8.0,43.0,1.17470175,4,3,2,1,1,1,3,3
Milford,17913.0,86.9,34.3,20407.0,5.3,80371.0,92640.0,8.5,11.1,10489.0,95.2,53.9,11.2,10.8,8.3,4.7,6.7,4.1,0.4,0.0,66.4,33.6,26084.0,97.5,38.2,83.0,2.9,0.7,2.9,0.0,13.2,15.5,27.0,11.0,61.0,1.4371111109999999,2,5,1,0,0,2,0,0
Lynn,61187.0,76.2,18.5,73057.0,5.9,56181.0,71597.0,13.1,16.6,33989.0,95.9,33.4,3.8,15.8,18.3,5.1,5.8,17.8,0.1,0.0,44.9,55.1,93743.0,101.5,34.5,54.0,18.2,1.1,8.3,0.3,25.3,42.8,44.0,6.0,49.0,1.242554815,4,3,2,1,1,1,3,3
Woburn,29255.0,94.3,45.4,33526.0,3.0,91022.0,108751.0,4.4,6.3,16872.0,94.4,51.7,7.2,9.0,6.5,4.7,6.3,14.4,0.1,0.0,61.3,38.7,40304.0,102.3,40.0,81.6,7.4,0.4,9.8,0.4,3.5,4.6,31.0,10.0,57.0,1.3737001780000002,2,5,5,0,0,2,0,1
Worcester,121514.0,84.7,30.2,154224.0,5.6,48139.0,68613.0,14.6,20.0,78438.0,91.3,31.7,5.7,9.6,24.0,8.3,5.8,14.7,0.2,0.0,41.3,58.7,185143.0,96.3,34.7,72.6,15.6,1.2,8.3,0.2,6.5,21.9,40.0,8.0,50.0,0.566770577,4,3,2,1,1,1,3,3
Belmont,18054.0,97.0,75.4,20297.0,4.0,129380.0,178083.0,3.9,6.0,10236.0,95.9,47.9,6.7,29.7,8.3,1.1,1.0,5.4,0.0,0.0,64.5,35.5,26113.0,86.5,41.1,80.6,2.6,0.5,19.8,0.0,0.5,4.3,36.0,7.0,56.0,0.9063608559999999,5,0,5,2,1,0,2,1
Hanson,1251.0,97.8,30.8,1510.0,2.7,97500.0,108544.0,3.9,3.7,673.0,92.1,97.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,97.3,2.7,1769.0,104.5,44.6,99.4,1.3,0.0,0.6,0.0,0.0,1.5,18.0,15.0,65.0,0.6775,2,0,3,0,3,2,0,1
Pittsfield,31531.0,90.7,28.5,35757.0,5.7,51411.0,69764.0,10.6,13.4,21752.0,88.8,53.0,3.2,15.8,12.1,4.9,4.1,5.6,1.2,0.0,61.8,38.2,42766.0,90.0,44.4,90.6,7.9,0.7,2.4,0.1,2.5,6.8,40.0,8.0,50.0,0.979849903,0,5,1,1,0,1,0,0
Brockton,62411.0,80.5,18.6,74626.0,8.3,58469.0,77290.0,11.9,14.8,33861.0,94.0,47.4,2.9,12.3,16.0,5.7,6.0,9.4,0.2,0.1,55.0,45.0,95594.0,91.0,35.7,38.1,48.0,0.9,2.4,0.1,14.3,11.1,49.0,6.0,42.0,1.2251532809999999,4,3,2,1,1,1,3,3
Nantucket,5812.0,95.1,51.4,6492.0,2.2,110473.0,141324.0,2.0,7.0,7122.0,36.7,81.8,4.0,8.6,3.2,1.5,0.0,0.5,0.5,0.0,67.8,32.2,7984.0,99.8,39.4,91.8,5.8,0.9,2.0,0.3,2.0,5.1,30.0,13.0,56.0,1.6384826959999998,5,0,0,0,2,2,2,1
Winchendon,2884.0,91.1,25.3,3403.0,4.1,56773.0,80896.0,8.3,12.3,1814.0,86.8,46.9,5.5,11.5,24.3,5.8,5.2,0.8,0.0,0.0,50.2,49.8,3999.0,99.9,40.5,91.4,2.4,1.0,5.8,0.0,1.5,4.1,18.0,14.0,65.0,0.926687565,0,2,1,0,0,4,0,0
Gloucester,23175.0,92.5,39.9,25671.0,4.4,72574.0,96980.0,6.2,10.0,14878.0,88.1,56.1,5.5,15.3,11.7,4.0,2.3,5.2,0.0,0.0,64.0,36.0,30162.0,93.8,50.9,95.8,3.2,0.4,2.4,0.0,0.5,2.4,27.0,9.0,63.0,0.7677665370000001,2,5,1,0,2,2,0,0
Northborough,4472.0,94.4,58.7,5150.0,2.9,114303.0,156624.0,1.7,3.3,2392.0,94.8,74.4,6.3,5.7,6.7,3.7,1.0,2.2,0.0,0.0,76.0,24.0,6298.0,88.7,44.6,90.5,1.7,0.4,8.4,0.0,1.5,3.2,22.0,13.0,64.0,0.600190484,5,0,3,0,3,2,2,1
Westborough,2935.0,94.3,55.2,3218.0,2.4,87557.0,118911.0,4.9,6.8,1843.0,93.8,44.8,2.9,16.0,6.6,5.7,5.0,19.0,0.0,0.0,55.3,44.7,3957.0,96.8,41.5,91.9,1.3,1.7,5.8,0.0,0.5,5.9,26.0,13.0,60.0,1.355569449,2,2,5,0,0,2,0,0
Orleans,1580.0,97.8,40.4,1636.0,4.8,54750.0,71199.0,8.4,10.4,1507.0,59.9,54.8,7.2,6.2,9.6,4.8,4.2,13.1,0.0,0.0,72.4,27.6,1798.0,77.5,61.9,86.4,11.5,0.0,0.0,2.1,2.1,3.5,26.0,17.0,56.0,0.7840522879999999,0,2,5,0,2,4,0,0
Deerfield,311.0,98.4,74.6,539.0,8.1,90963.0,90963.0,0.0,38.9,155.0,100.0,74.2,0.0,16.8,9.0,0.0,0.0,0.0,0.0,0.0,58.1,41.9,621.0,121.0,40.0,76.3,28.8,0.0,9.0,0.0,1.3,9.5,31.0,9.0,59.0,0.685770691,2,2,2,0,1,2,0,1
Norwood,21580.0,94.7,47.4,24183.0,3.0,90133.0,108643.0,6.5,8.1,12602.0,95.0,47.3,7.3,9.6,10.8,5.6,11.7,7.6,0.2,0.0,57.5,42.5,29306.0,89.1,40.8,85.7,8.0,0.6,5.8,0.1,1.5,6.8,32.0,9.0,58.0,1.081100727,2,5,5,0,0,2,0,1
Barre,820.0,97.6,34.5,918.0,3.8,50268.0,67892.0,0.0,2.7,555.0,92.6,65.6,0.0,19.1,1.8,13.5,0.0,0.0,0.0,0.0,74.5,25.5,986.0,98.8,55.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,65.0,0.940147727,0,2,1,0,2,4,0,0
Arlington,33360.0,96.6,70.9,36696.0,3.3,108389.0,138350.0,3.1,5.2,20207.0,94.3,38.4,5.6,25.0,7.2,3.0,4.8,15.9,0.1,0.0,58.0,42.0,45304.0,86.6,40.7,83.3,4.0,0.5,14.9,0.0,1.2,4.9,46.0,5.0,48.0,0.839643543,5,5,5,1,1,1,2,1
Wakefield,20100.0,94.5,51.2,22420.0,3.1,100278.0,129924.0,2.1,4.2,11137.0,96.3,58.8,4.5,13.2,7.2,3.5,2.1,10.6,0.0,0.1,74.5,25.5,26993.0,91.0,43.9,94.7,2.2,0.1,3.2,0.1,1.2,3.5,28.0,11.0,60.0,1.309099199,2,0,1,0,0,2,0,1
Wellesley,15964.0,97.9,83.8,22365.0,4.6,197132.0,287793.0,3.1,4.4,8926.0,94.7,81.1,3.5,2.1,3.7,1.4,0.9,7.3,0.1,0.0,80.9,19.1,28747.0,76.3,35.6,83.3,3.6,0.4,14.8,0.3,1.2,5.1,29.0,15.0,55.0,0.7207303970000001,3,4,3,2,3,0,2,4
Dedham,18618.0,95.2,53.3,20987.0,3.7,100757.0,131790.0,2.4,4.5,10577.0,94.9,65.1,4.1,8.0,4.9,2.6,1.5,13.3,0.4,0.0,72.1,27.9,25283.0,86.8,42.9,86.6,8.5,0.4,3.7,0.1,3.3,8.7,34.0,9.0,56.0,1.126286914,2,0,5,0,0,2,0,1
Quincy,73038.0,88.2,45.1,82087.0,5.1,77562.0,94360.0,8.0,11.3,43736.0,94.2,33.0,4.8,12.8,11.2,5.5,5.0,27.5,0.1,0.1,46.2,53.8,94207.0,94.5,39.7,62.7,5.8,0.4,31.4,0.3,1.4,3.1,36.0,8.0,54.0,0.994668096,4,3,5,1,1,1,3,3
Barnstable,33500.0,93.7,38.6,37686.0,4.4,72733.0,100447.0,5.7,7.9,26395.0,71.2,81.9,2.8,2.5,4.8,3.7,1.4,2.8,0.0,0.0,75.0,25.0,44406.0,94.9,48.3,91.4,6.7,0.8,1.2,0.2,1.6,5.9,23.0,15.0,60.0,1.187402562,4,5,0,1,2,1,0,0
Melrose,20322.0,95.9,61.6,23268.0,2.8,106955.0,135189.0,1.8,4.1,11787.0,96.1,57.2,3.2,9.8,2.8,3.6,4.8,18.2,0.0,0.4,65.8,34.2,28113.0,85.7,41.3,90.6,4.3,0.1,6.9,0.0,0.5,3.2,34.0,10.0,55.0,1.050758001,5,0,5,0,0,2,0,1
North Adams,8751.0,84.0,23.0,10949.0,5.5,41471.0,58175.0,14.2,19.4,6588.0,84.5,44.7,1.4,14.0,17.2,10.5,0.8,7.3,4.1,0.0,57.4,42.6,12959.0,99.7,42.4,93.9,4.9,2.0,1.1,0.2,3.3,6.6,33.0,7.0,59.0,0.769455833,0,2,1,0,0,4,0,0
Longmeadow,10953.0,95.3,65.1,12489.0,2.7,122035.0,162044.0,0.9,2.2,5748.0,97.6,91.5,0.7,0.9,0.8,0.3,1.9,3.7,0.2,0.0,90.1,9.9,15791.0,90.4,45.0,92.3,1.1,0.4,7.5,0.4,1.1,6.8,30.0,18.0,50.0,1.002168413,5,0,3,2,3,0,2,1
Huntington,492.0,84.8,11.6,567.0,3.4,52500.0,56334.0,6.0,9.0,361.0,90.3,60.7,1.7,7.2,11.1,9.1,1.9,0.0,8.3,0.0,63.2,36.8,634.0,98.1,40.9,97.5,0.0,2.8,0.0,0.0,2.1,2.1,19.0,14.0,65.0,0.93591195,0,2,1,0,0,4,0,0
Dennis,2083.0,93.2,51.0,2200.0,5.5,90795.0,113673.0,2.6,2.5,2638.0,44.2,85.5,5.0,3.8,3.6,0.6,0.0,1.4,0.0,0.0,83.6,16.4,2307.0,93.9,65.9,97.2,0.0,2.2,0.8,0.0,2.0,0.3,24.0,14.0,61.0,0.667045939,2,2,0,0,2,2,0,1
Athol,5918.0,87.9,17.0,6989.0,10.0,49653.0,62635.0,12.0,17.3,3870.0,86.7,61.0,3.0,12.3,9.0,6.0,4.7,3.7,0.2,0.0,63.4,36.6,8617.0,82.8,39.3,93.5,3.6,0.5,1.2,0.0,4.8,6.5,17.0,12.0,68.0,0.815767824,0,2,1,0,0,4,0,0
Clinton,4957.0,86.7,25.6,5904.0,4.4,53972.0,70416.0,7.5,11.0,3267.0,88.6,32.8,6.1,18.2,22.3,9.5,3.1,7.3,0.9,0.0,44.8,55.2,7154.0,102.8,36.2,88.0,5.7,0.0,0.3,0.0,6.8,22.9,29.0,11.0,59.0,0.731580764,0,2,1,0,0,4,0,0
Attleboro,32405.0,90.8,31.6,36277.0,4.8,74962.0,95097.0,6.3,8.6,19084.0,92.4,56.5,5.9,8.8,10.2,5.1,4.2,5.6,3.5,0.2,69.0,31.0,44789.0,95.8,41.5,89.6,5.2,0.4,4.5,0.2,1.8,6.6,23.0,12.0,63.0,1.007598677,4,5,1,1,0,1,0,0
Northampton,19416.0,93.8,60.1,24708.0,3.7,66522.0,93153.0,7.0,13.7,12065.0,93.6,46.7,6.0,11.0,11.2,10.6,5.6,8.9,0.0,0.0,55.5,44.5,28516.0,72.3,40.0,92.3,3.5,1.1,5.3,0.3,2.2,8.7,51.0,3.0,44.0,0.594204276,0,5,5,0,1,2,0,0
Newton,58219.0,97.4,79.2,72238.0,2.8,151068.0,207563.0,2.5,4.3,32551.0,94.2,56.8,7.8,16.2,4.4,2.2,2.9,9.5,0.1,0.0,72.0,28.0,88593.0,86.9,41.0,79.9,4.0,0.3,17.1,0.1,2.3,4.9,42.0,7.0,50.0,0.9553968420000001,3,4,5,1,1,1,2,4
Randolph,23956.0,86.0,28.1,28213.0,6.5,82510.0,96069.0,7.6,8.6,12381.0,95.6,60.2,10.8,3.2,2.5,3.4,6.2,13.6,0.0,0.0,67.9,32.1,34064.0,92.8,40.7,34.7,47.5,0.7,13.2,0.0,7.1,8.8,49.0,5.0,45.0,1.269748895,2,5,5,1,1,1,0,0
Reading,17828.0,97.5,64.4,19792.0,3.1,132731.0,147262.0,2.0,2.8,9419.0,97.6,73.5,3.4,3.6,2.9,2.4,4.1,10.1,0.0,0.0,84.1,15.9,25132.0,97.4,43.2,94.0,0.6,0.1,4.9,0.2,1.5,3.0,27.0,13.0,58.0,1.20672736,5,0,3,2,0,0,2,1
Braintree,26343.0,93.8,43.4,29678.0,3.5,96522.0,117154.0,3.9,4.6,14607.0,96.0,61.2,4.6,5.5,5.2,5.8,6.7,11.0,0.0,0.0,73.0,27.0,37220.0,93.7,41.5,82.2,3.5,0.8,14.5,0.0,0.9,2.1,31.0,10.0,58.0,1.387532077,2,5,5,0,0,2,0,1
Chester,563.0,90.4,15.6,628.0,2.6,65250.0,71762.0,9.3,13.2,308.0,95.8,77.9,1.0,11.0,5.2,0.0,4.9,0.0,0.0,0.0,69.2,30.8,787.0,86.9,43.6,99.5,1.3,0.0,0.0,0.0,0.0,0.5,17.0,18.0,62.0,1.2432110090000001,0,2,1,0,2,4,0,0
Abington,11793.0,94.7,39.1,13727.0,4.3,99381.0,105390.0,2.5,4.1,6781.0,94.3,58.9,6.0,5.0,11.7,6.1,8.0,4.3,0.0,0.0,73.3,26.7,16436.0,97.7,42.2,93.2,3.0,0.3,4.9,0.0,1.4,2.6,24.0,11.0,64.0,1.1680963,2,0,1,0,0,2,0,1
Methuen,34750.0,88.3,28.1,41418.0,6.0,77484.0,96043.0,6.8,9.2,18700.0,95.8,60.6,6.9,9.0,7.5,2.9,5.8,6.9,0.3,0.0,71.8,28.2,50282.0,92.6,40.7,78.1,6.8,0.9,4.6,0.0,13.4,29.5,32.0,11.0,55.0,1.37638742,4,5,1,1,0,1,3,3
Walpole,4322.0,93.2,46.9,4760.0,2.9,94375.0,117674.0,2.0,4.2,2666.0,96.8,52.8,17.0,6.9,2.9,12.0,7.4,1.1,0.0,0.0,72.5,27.5,6197.0,102.4,41.2,85.7,1.5,0.7,5.4,0.0,7.3,10.5,22.0,13.0,64.0,1.311594456,2,0,1,0,0,2,0,1
Agawam,21598.0,93.3,33.2,23942.0,3.5,68944.0,87473.0,4.3,7.9,12253.0,96.5,64.9,5.1,5.0,4.2,8.2,4.6,7.7,0.3,0.0,75.8,24.2,28696.0,95.3,46.4,95.6,2.8,0.7,2.8,0.0,0.4,5.4,24.0,16.0,58.0,1.008578669,0,5,1,0,0,2,0,0
Avon,3389.0,92.0,26.9,3703.0,4.8,85200.0,93196.0,6.6,9.8,1787.0,88.1,73.0,6.4,8.4,5.1,3.0,2.1,0.5,0.8,0.6,73.9,26.1,4500.0,90.8,40.0,75.6,18.7,0.5,3.9,0.0,3.4,4.2,33.0,9.0,57.0,1.6463391,2,2,1,0,0,2,0,0
Boxborough,3876.0,95.9,66.2,4535.0,4.6,115395.0,143993.0,4.6,4.5,2371.0,95.6,52.4,6.2,1.3,2.7,9.9,16.3,11.3,0.0,0.0,68.8,31.2,5561.0,102.1,43.2,79.6,1.3,1.3,19.2,0.0,1.7,5.1,25.0,10.0,64.0,1.0511248709999998,5,0,5,0,0,2,2,1
Manchester,3842.0,98.3,70.8,4314.0,3.4,148854.0,193406.0,1.9,3.3,2294.0,90.5,69.4,1.6,8.0,10.1,9.0,0.8,1.2,0.0,0.0,76.2,23.8,5383.0,100.9,48.9,99.3,0.0,0.0,1.4,0.0,0.0,1.5,23.0,17.0,59.0,0.8084195279999999,5,4,3,2,3,0,2,4
Cohasset,5572.0,98.6,70.8,6245.0,2.6,145679.0,224019.0,2.8,4.6,3505.0,88.1,80.7,4.3,1.8,4.5,5.8,1.7,1.4,0.0,0.0,77.5,22.5,8484.0,89.7,44.0,97.5,1.5,0.1,1.2,0.2,0.4,1.4,21.0,19.0,58.0,0.825203252,3,4,3,2,3,0,2,4
Billerica,23370.0,93.6,37.2,27290.0,4.2,106141.0,117150.0,2.1,3.5,11877.0,97.3,75.1,3.2,3.5,1.2,1.6,3.5,11.9,0.0,0.0,79.0,21.0,32797.0,98.0,41.1,86.5,4.4,0.6,9.1,0.2,1.6,3.6,24.0,12.0,63.0,1.230780571,2,0,3,0,0,2,0,1
Dracut,21816.0,91.3,31.1,25428.0,4.1,90000.0,102200.0,4.3,6.5,11810.0,97.1,67.4,5.2,4.4,3.8,6.8,4.7,7.7,0.0,0.0,78.7,21.3,31294.0,97.4,40.0,89.8,5.4,0.2,4.7,0.2,1.7,6.6,24.0,12.0,63.0,1.1945339659999998,2,5,1,0,0,2,0,1
Merrimac,4875.0,94.3,43.7,5737.0,2.7,84609.0,111519.0,1.0,3.4,2784.0,97.3,66.9,6.3,8.9,5.0,1.7,1.5,0.3,9.4,0.0,87.1,12.9,6890.0,98.4,47.7,97.4,0.2,0.0,1.7,0.0,1.3,2.4,19.0,13.0,66.0,0.682680355,2,2,3,0,3,2,0,0
Worthington,968.0,94.2,36.0,1097.0,1.2,80192.0,91776.0,3.4,6.2,671.0,87.0,92.8,0.0,1.2,4.2,0.0,0.0,1.2,0.6,0.0,87.7,12.3,1263.0,87.4,51.6,99.1,0.3,0.2,0.0,0.0,1.0,0.8,27.0,10.0,62.0,0.975248619,0,2,0,0,2,2,0,0
Granville,1627.0,95.0,32.4,1826.0,5.4,87750.0,96521.0,4.8,8.8,1242.0,68.8,98.2,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,92.6,7.4,2186.0,97.1,46.6,99.4,0.5,0.9,0.3,0.1,0.5,2.3,14.0,19.0,64.0,0.5536,2,2,0,0,3,2,0,0
Freetown,3662.0,89.7,30.4,3966.0,6.9,85139.0,110427.0,2.2,3.9,1929.0,90.0,91.0,2.7,4.1,1.4,0.0,0.0,0.3,0.4,0.0,89.4,10.6,4917.0,96.8,45.3,97.0,2.2,3.4,0.9,0.0,2.1,2.1,21.0,12.0,65.0,1.046615581,2,2,0,0,2,2,0,0
Oak Bluffs,3359.0,96.0,42.2,3640.0,2.5,75294.0,87642.0,5.4,9.8,4571.0,38.3,84.2,2.5,5.6,1.2,2.8,1.8,1.4,0.6,0.0,74.2,25.8,4665.0,95.2,40.8,92.6,7.6,0.0,0.0,0.0,3.2,2.1,37.0,10.0,52.0,0.391192931,0,2,0,0,2,4,0,0
Westport,11857.0,88.4,35.2,13555.0,3.5,80430.0,99546.0,4.5,5.6,7233.0,88.3,85.3,3.6,5.6,0.8,2.2,0.0,1.7,0.6,0.2,83.2,16.8,15793.0,99.3,48.5,99.2,0.4,0.4,0.5,0.1,0.5,1.7,31.0,13.0,55.0,0.633631551,2,2,0,0,2,2,0,0
Norwell,7369.0,97.4,65.4,8464.0,3.4,157987.0,183481.0,1.5,3.0,3869.0,94.8,93.0,0.7,0.3,1.7,0.2,1.9,1.2,1.0,0.0,93.5,6.5,11054.0,94.8,42.2,96.9,0.3,0.1,2.5,0.3,0.9,2.3,21.0,18.0,60.0,1.127619718,5,4,3,2,3,0,2,4
Leverett,1480.0,95.0,65.1,1636.0,3.2,90978.0,129319.0,3.2,6.5,794.0,96.5,86.3,2.4,8.2,0.8,0.8,0.0,0.0,1.6,0.0,88.6,11.4,2001.0,101.7,47.5,96.9,0.3,0.6,3.1,0.0,0.4,1.2,48.0,5.0,45.0,0.629589041,2,2,0,0,2,2,0,1
Whitman,10171.0,94.1,29.0,12194.0,3.7,86570.0,98929.0,3.5,6.2,5686.0,96.1,60.5,5.5,12.2,9.1,2.7,0.7,9.0,0.3,0.0,70.5,29.5,15056.0,98.0,38.0,95.1,3.5,0.4,0.9,0.0,2.7,2.5,22.0,12.0,65.0,1.015562206,2,2,1,0,0,2,0,0
Carlisle,3699.0,98.7,82.2,4179.0,4.3,195889.0,251401.0,1.6,3.4,2029.0,92.5,92.1,3.4,0.6,0.5,0.6,0.0,2.9,0.0,0.0,94.6,5.4,5224.0,112.0,50.7,87.7,0.2,0.3,13.0,0.0,1.1,0.8,27.0,12.0,60.0,1.48596875,3,4,3,2,3,0,2,4
