municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh,km_label,km_trimmed_label,km_s_label,hc_label,hc_s_label,hc_n5_label,km_n4_label,km_n5_label
Haverhill,43435.0,90.8,29.8,50420.0,5.2,69426.0,86187.0,10.0,12.5,25641.0,94.6,40.2,12.5,12.8,12.1,6.9,5.5,9.7,0.2,0.0,57.1,42.9,63533.0,93.4,36.8,83.7,6.3,0.7,2.2,0.4,11.2,23.2,28.0,12.0,59.0,1.34274656,4,5,1,1,0,1,3,3
Medfield,4610.0,97.9,69.8,5225.0,2.0,127048.0,161849.0,3.3,4.0,2585.0,97.7,71.7,5.3,3.2,2.8,5.1,6.9,5.0,0.0,0.0,78.7,21.3,6966.0,96.9,43.5,93.0,1.7,0.5,6.1,0.0,0.0,1.2,20.0,15.0,64.0,0.99,5,0,3,2,3,0,2,1
Needham,20559.0,97.8,76.0,23711.0,4.0,165547.0,223894.0,1.4,2.7,11309.0,95.5,76.4,5.4,3.8,1.6,2.2,1.6,8.9,0.0,0.0,83.9,16.1,30970.0,92.2,43.5,87.4,3.4,0.3,10.6,0.0,0.7,3.2,33.0,11.0,55.0,1.326762012,3,4,3,2,3,0,2,4
Somerset,13739.0,90.9,27.5,15210.0,3.3,84115.0,101068.0,2.2,3.9,7332.0,94.9,82.2,1.4,7.7,4.9,0.6,0.9,2.3,0.0,0.0,80.0,20.0,18165.0,98.2,47.1,98.8,0.5,0.1,0.4,0.0,0.8,0.9,32.0,10.0,56.0,0.793781913,2,2,0,0,2,2,0,0
Plymouth,5414.0,92.5,32.3,6033.0,3.6,64242.0,97431.0,2.0,6.5,3820.0,86.6,40.8,6.9,15.7,11.2,5.1,12.1,8.2,0.0,0.0,51.7,48.3,7081.0,81.6,44.3,94.2,3.5,1.2,1.6,0.0,3.1,2.1,22.0,14.0,62.0,0.845408045,0,2,1,0,0,4,0,0
Spencer,4365.0,87.5,9.6,5070.0,6.8,59331.0,69358.0,5.3,12.2,2871.0,86.4,37.4,0.7,20.5,23.1,13.1,0.6,3.8,0.8,0.0,49.3,50.7,5792.0,116.5,44.8,91.8,3.3,1.4,6.4,0.0,0.0,3.7,20.0,13.0,65.0,0.8976154670000001,0,2,1,0,0,4,0,0
Dover,1617.0,99.4,80.8,1887.0,1.6,216250.0,355097.0,0.0,0.5,853.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,5.2,2539.0,107.4,43.9,89.5,0.0,0.0,14.1,0.0,0.0,0.4,19.0,20.0,60.0,1.108521971,3,4,3,2,3,0,2,4
Cambridge,79240.0,95.5,79.0,103953.0,4.0,103154.0,139991.0,7.3,12.7,51882.0,90.3,8.7,5.8,12.6,17.2,10.6,7.5,37.6,0.1,0.0,34.8,65.2,116632.0,99.4,30.5,70.0,12.2,0.8,19.1,0.2,2.4,9.5,56.0,3.0,39.0,0.589961883,4,3,5,1,1,1,3,3
Lunenburg,1307.0,95.3,37.3,1507.0,2.6,113750.0,122202.0,1.5,2.9,741.0,92.3,90.1,2.4,1.3,6.1,0.0,0.0,0.0,0.0,0.0,95.6,4.4,1778.0,81.2,44.4,99.5,0.1,0.0,4.9,0.0,0.0,0.2,19.0,15.0,64.0,0.6951628040000001,2,0,3,0,3,2,2,1
Provincetown,2500.0,95.2,55.4,2585.0,7.1,58313.0,99872.0,3.9,10.3,4417.0,35.5,40.1,8.2,13.9,25.7,6.8,1.5,3.3,0.6,0.0,78.7,21.3,2730.0,133.1,57.0,94.7,4.0,0.8,3.5,0.3,1.6,4.5,58.0,3.0,38.0,1.8999148209999999,0,2,5,0,2,4,0,0
Framingham,51702.0,90.3,47.6,59667.0,5.0,82709.0,106832.0,5.7,8.4,29449.0,95.8,50.3,6.1,6.9,6.5,3.6,6.4,19.8,0.2,0.1,53.9,46.1,72308.0,96.6,38.9,71.6,8.6,0.9,8.5,0.4,12.7,16.1,35.0,8.0,55.0,1.258724627,4,5,5,1,0,1,3,3
Lowell,72095.0,81.9,24.1,90068.0,5.8,56878.0,72670.0,13.7,19.0,41786.0,94.3,31.7,5.6,15.9,12.3,9.5,8.7,16.1,0.1,0.1,42.3,57.7,111306.0,99.9,33.5,63.2,9.4,1.1,23.7,0.3,5.1,18.1,37.0,8.0,54.0,1.2107196000000002,4,3,2,1,1,1,3,3
Greenfield,13178.0,91.4,34.7,14709.0,5.1,50478.0,68274.0,6.7,11.4,8521.0,94.6,49.0,4.6,12.5,13.6,9.4,3.0,6.9,0.9,0.0,56.3,43.7,17375.0,98.9,43.7,92.5,3.5,0.4,2.4,0.1,3.6,7.7,33.0,8.0,57.0,0.977808327,0,2,1,0,0,4,0,0
