,voters,democrat,dem%,republican,rep%,green-rainbow,green%,libertarian,liber%,unenrolled,un%
CHILMARK......................................................,931,425,46,48,5,3,0,1,0,451,48
ARLINGTON....................................................,"30,839","14,046",46,"1,645",5,29,0,53,0,"14,914",48
STOCKBRIDGE...............................................,"1,644",698,42,143,9,9,1,2,0,784,48
MONTEREY.....................................................,676,276,41,70,10,3,0,4,1,322,48
EVERETT.........................................................,"19,464","9,024",46,999,5,8,0,61,0,"9,200",47
LENOX.............................................................,"3,615","1,559",43,340,9,7,0,13,0,"1,685",47
BROOKLINE....................................................,"36,877","17,601",48,"2,037",6,32,0,76,0,"16,910",46
PELHAM..........................................................,"1,041",513,49,38,4,3,0,3,0,477,46
WILLIAMSTOWN............................................,"4,762","2,267",48,288,6,4,0,16,0,"2,175",46
FALL RIVER.....................................................,"46,842","20,658",44,"3,880",8,51,0,288,1,"21,353",46
LEVERETT.......................................................,"1,477",716,48,77,5,6,0,1,0,672,45
RANDOLPH.....................................................,"20,874","10,279",49,"1,009",5,11,0,43,0,"9,399",45
AMHERST........................................................,"17,683","8,725",49,693,4,53,0,75,0,"7,924",45
CHELSEA........................................................,"16,884","8,304",49,912,5,10,0,72,0,"7,426",44
NORTHAMPTON.............................................,"20,425","10,472",51,701,3,69,0,68,0,"8,956",44
SOMERVILLE..................................................,"53,586","27,960",52,"1,843",3,86,0,215,0,"23,057",43
SPRINGFIELD.................................................,"95,886","46,284",48,"7,234",8,92,0,389,0,"40,998",43
BROCKTON....................................................,"55,123","27,240",49,"3,547",6,36,0,229,0,"23,343",42
BOSTON..........................................................,"415,103","210,570",51,"24,034",6,403,0,"1,443",0,"175,308",42
LAWRENCE....................................................,"39,047","20,873",53,"1,811",5,17,0,123,0,"15,998",41
CAMBRIDGE...................................................,"66,095","37,191",56,"2,094",3,129,0,197,0,"26,097",39
PROVINCETOWN...........................................,"2,879","1,680",58,82,3,2,0,15,1,"1,090",38
