,voters,democrat,dem%,republican,rep%,green-rainbow,green%,libertarian,liber%,unenrolled,un%
HUDSON.........................................................,"13,262","3,118",24,"1,399",11,12,0,72,1,"8,549",64
GRANVILLE.....................................................,"1,164",160,14,226,19,3,0,8,1,750,64
UXBRIDGE......................................................,"9,902","1,893",19,"1,422",14,6,0,53,1,"6,380",64
GROVELAND..................................................,"5,122",978,19,779,15,6,0,14,0,"3,299",64
PEMBROKE....................................................,"12,985","2,710",21,"1,831",14,1,0,27,0,"8,360",64
MILLBURY.......................................................,"9,468","2,161",23,"1,096",12,2,0,44,0,"6,095",64
NORTH ATTLEBOROUGH.............................,"19,861","3,729",19,"3,108",16,10,0,94,0,"12,783",64
MOUNT WASHINGTON..................................,129,37,29,9,7,0,0,0,0,83,64
SALISBURY.....................................................,"6,364","1,338",21,834,13,3,0,37,1,"4,093",64
LEICESTER.....................................................,"7,318","1,721",24,813,11,5,0,34,0,"4,706",64
OXFORD......................................,"9,083","1,889",21,"1,181",13,8,0,60,1,"5,837",64
NEW SALEM...................................................,749,181,24,80,11,3,0,3,0,481,64
PLAINFIELD....................................................,469,135,29,30,6,2,0,0,0,301,64
ASHBURNHAM...............................................,"4,335",855,20,609,14,4,0,26,1,"2,782",64
BELLINGHAM..................................................,"10,974","2,291",21,"1,451",13,6,0,56,1,"7,042",64
LITTLETON.....................................................,"7,150","1,647",23,861,12,2,0,24,0,"4,586",64
MATTAPOISETT..............................................,"5,237","1,105",21,721,14,3,0,11,0,"3,357",64
ACUSHNET.....................................................,"7,339","1,996",27,599,8,5,0,15,0,"4,704",64
ROCKLAND.....................................................,"12,044","2,875",24,"1,260",10,7,0,50,0,"7,716",64
BUCKLAND.....................................................,"1,307",378,29,77,6,2,0,4,0,837,64
STERLING.....................................................,"5,978","1,026",17,"1,057",18,2,0,23,0,"3,828",64
BLACKSTONE.................................................,"6,064","1,286",21,769,13,4,0,28,0,"3,883",64
BOXBOROUGH..............................................,"3,731",940,25,376,10,4,0,10,0,"2,388",64
WEST BRIDGEWATER...................................,"5,231",980,19,829,16,5,0,18,0,"3,348",64
LUNENBURG..................................................,"7,799","1,471",19,"1,199",15,3,0,34,0,"4,989",64
DIGHTON........................................................,"5,425","1,092",20,762,14,4,0,32,1,"3,467",64
NORTHBOROUGH...................................,"11,031","2,421",22,"1,461",13,7,0,39,0,"7,049",64
PRINCETON...............................................,"2,782",523,19,443,16,2,0,14,1,"1,775",64
HEATH.............................................................,530,145,27,42,8,1,0,0,0,338,64
MEDWAY.........................................................,"9,589","2,019",21,"1,347",14,4,0,35,0,"6,115",64
MEDFIELD.......................................................,"8,644","1,764",20,"1,277",15,3,0,23,0,"5,512",64
NORTHBRIDGE.........................................,"11,065","1,969",18,"1,844",17,11,0,39,0,"7,054",64
WALPOLE.......................................................,"18,035","4,001",22,"2,376",13,7,0,48,0,"11,479",64
ABINGTON......................................................,"11,822","2,840",24,"1,338",11,6,0,48,0,"7,520",64
HANOVER.......................................................,"10,463","2,100",20,"1,583",15,4,0,38,0,"6,655",64
MIDDLETON....................................................,"6,573","1,256",19,"1,064",16,2,0,28,0,"4,179",64
GROTON.........................................................,"8,143","1,770",22,"1,143",14,4,0,29,0,"5,170",63
PETERSHAM.............................................,947,215,23,114,12,0,0,8,1,601,63
RAYNHAM.......................................................,"11,796","2,491",21,"1,625",14,8,0,53,0,"7,478",63
FOXBOROUGH...............................................,"12,729","2,837",22,"1,703",13,16,0,42,0,"8,066",63
TEWKSBURY..................................................,"22,297","5,145",23,"2,705",12,9,0,89,0,"14,126",63
DUNSTABLE...................................................,"2,449",487,20,380,16,1,0,14,1,"1,550",63
SOUTHAMPTON.............................................,"4,588",998,22,638,14,1,0,11,0,"2,902",63
WAREHAM......................................................,"15,375","3,585",23,"1,805",12,15,0,68,0,"9,723",63
PAXTON.....................................................,"3,243",712,22,435,13,3,0,13,0,"2,050",63
NORTHFIELD..................................................,"2,315",552,24,270,12,1,0,10,0,"1,462",63
ROCKPORT.....................................................,"5,736","1,519",26,526,9,7,0,19,0,"3,622",63
BLANDFORD...................................................,870,131,15,175,20,1,0,6,1,549,63
WRENTHAM...................................................,"8,389","1,505",18,"1,426",17,4,0,49,1,"5,293",63
BOURNE.........................................................,"13,781","2,744",20,"2,117",15,9,0,41,0,"8,694",63
BILLERICA......................................................,"27,857","6,666",24,"3,259",12,12,0,96,0,"17,568",63
TOPSFIELD.....................................................,"4,793",898,19,832,17,2,0,14,0,"3,021",63
PEPPERELL....................................................,"8,242","1,498",18,"1,402",17,4,0,49,1,"5,193",63
OTIS................................................................,"1,113",237,21,169,15,0,0,3,0,701,63
KINGSTON......................................................,"9,562","1,935",20,"1,464",15,7,0,40,0,"6,022",63
ATTLEBORO...................................................,"28,450","6,529",23,"3,508",12,22,0,162,1,"17,914",63
AYER...............................................................,"5,530","1,269",23,678,12,6,0,28,1,"3,475",63
FRANKLIN.......................................................,"23,175","4,988",22,"3,319",14,12,0,73,0,"14,556",63
HOLDEN..........................................................,"13,777","2,839",21,"2,082",15,5,0,51,0,"8,653",63
BRIDGEWATER..............................................,"16,600","3,736",23,"2,123",13,12,0,78,0,"10,421",63
DUDLEY...........................................................,"7,228","1,519",21,"1,036",14,3,0,54,1,"4,532",63
GRAFTON.......................................................,"12,790","2,849",22,"1,737",14,11,0,70,1,"8,017",63
GLOUCESTER................................................,"20,582","5,519",27,"1,875",9,17,0,76,0,"12,895",63
NORFOLK.......................................................,"7,234","1,382",19,"1,284",18,1,0,19,0,"4,531",63
HAMPDEN.......................................................,"3,834",632,16,741,19,3,0,11,0,"2,400",63
ESSEX.............................................................,"2,735",577,21,413,15,1,0,9,0,"1,712",63
HAMILTON......................................................,"5,734","1,146",20,936,16,2,0,19,0,"3,589",63
BOXFORD.......................................................,"6,234",998,16,"1,255",20,1,0,22,0,"3,901",63
DRACUT..........................................................,"21,872","5,350",24,"2,537",12,8,0,100,0,"13,682",63
WASHINGTON................................................,416,118,28,37,9,0,0,0,0,260,63
GEORGETOWN..............................................,"6,107","1,185",19,"1,027",17,2,0,24,0,"3,815",62
NEWBURY.......................................................,"5,231","1,127",22,768,15,4,0,15,0,"3,266",62
MARSHFIELD..................................................,"19,889","4,483",23,"2,757",14,14,0,53,0,"12,417",62
IPSWICH.........................................................,"10,868","2,523",23,"1,441",13,8,0,23,0,"6,778",62
GOSHEN.........................................................,736,191,26,79,11,2,0,3,0,459,62
WENDELL.......................................................,696,232,33,25,4,2,0,2,0,434,62
MANSFIELD....................................................,"16,992","3,826",23,"2,312",14,9,0,74,0,"10,594",62
GRANBY..........................................................,"4,536","1,002",22,668,15,2,0,14,0,"2,823",62
STOW..............................................................,"5,217","1,311",25,615,12,3,0,24,0,"3,242",62
GILL.................................................................,"1,076",306,28,87,8,0,0,2,0,668,62
AUBURN..........................................................,"11,625","2,860",25,"1,330",11,7,0,52,0,"7,215",62
PLYMOUTH.....................................................,"42,456","9,330",22,"5,941",14,23,0,181,0,"26,345",62
BOLTON..........................................................,"3,986",831,21,638,16,2,0,12,0,"2,472",62
RUSSELL........................................................,"1,161",187,16,233,20,1,0,7,1,719,62
