municipality,dem%,rep%,un%
Richmond,34,8,56
Orleans,26,17,56
Nantucket,30,13,56
Melrose,34,10,55
Framingham,35,8,55
Stoughton,35,8,55
Sheffield,31,13,55
West Stockbridge,39,5,55
Needham,33,11,55
Wellesley,29,15,55
Tisbury,37,7,55
New Marlborough,31,12,55
Lexington,37,7,55
Westport,31,13,55
Methuen,32,11,55
Middlefield,29,16,55
Wilbraham,25,19,55
Chicopee,33,11,54
Salem,37,7,54
Lincoln,35,9,54
Hadley,36,9,54
Lowell,37,8,54
Ludlow,31,13,54
Quincy,36,8,54
Williamsburg,40,6,53
Concord,36,11,53
Truro,40,6,53
Edgartown,34,13,53
Oak Bluffs,37,10,52
West Tisbury,41,6,52
Malden,42,5,52
Alford,42,5,51
Conway,38,9,51
Medford,42,6,51
Aquinnah,47,2,51
Wellfleet,40,8,51
Longmeadow,30,18,50
Milton,41,8,50
Watertown,42,7,50
Newton,42,7,50
Egremont,42,7,50
Revere,42,7,50
Pittsfield,40,8,50
Worcester,40,8,50
Holyoke,41,8,50
Shutesbury,45,4,50
Great Barrington,43,7,49
Lynn,44,6,49
New Bedford,43,7,49
Chilmark,46,5,48
Arlington,46,5,48
Stockbridge,42,9,48
Monterey,41,10,48
Everett,46,5,47
Lenox,43,9,47
Brookline,48,6,46
Pelham,49,4,46
Williamstown,48,6,46
Fall River,44,8,46
Leverett,48,5,45
Randolph,49,5,45
Amherst,49,4,45
Chelsea,49,5,44
Northampton,51,3,44
Somerville,52,3,43
Springfield,48,8,43
Brockton,49,6,42
Boston,51,6,42
Lawrence,53,5,41
Cambridge,56,3,39
Provincetown,58,3,38
