Collection Day,Month,Date,Year,Residue rate,Truck Number,Date
Wed,Aug,8/14,2019,4.22%,149,
Thu,Aug,8/15,2019,4.06%,149,
Fri,Aug,8/16,2019,2.94%,149,
Wed,Aug,8/21,2019,5.68%,147,
Wed,Aug,8/28,2019,4.21%,151,
Wed,Aug,8/28,2019,3.26%,147,
Wed,Aug,8/28,2019,5.00%,149,
Mon,Sep,9/3,2019,4.69%,149,
Tue,Sep,9/4,2019,2.03%,149,
Thu,Sep,9/6,2019,4.17%,150,
Tue,Sep,9/10,2019,4.38%,147,
Wed,Sep,9/11,2019,7.96%,152,
Wed,Sep,9/11,2019,10.00%,148,
Thu,Sep,9/12,2019,5.83%,150,
Tue,Oct,10/8,2019,1.48%,151,
Thu,Oct,10/10,2019,5.79%,151,
Mon,Oct,10/28,2019,7.14%,151,
Tue,Oct,10/29,2019,1.94%,148,
Thu,Oct,10/31,2019,4.58%,149,
Tue,Nov,11/5,2019,3.57%,149,
Thu,Nov,11/7,2019,4.11%,147,
Mon,Nov,11/11,2019,4.33%,147,
Wed,Nov,11/20,2019,3.82%,147,
Wed,Nov,11/20,2019,3.38%,148,
Fri,Dec,12/6,2019,12.06%,150,
Fri,Dec,12/6,2019,10.00%,148,
Fri,Dec,12/6,2019,2.27%,152,
Mon,Jan,1/20,2020,1.82%,149,
Wed,Apr,4/1,2020,3.46%,151,
Thu,Apr,4/2,2020,3.61%,149,
Fri,Apr,4/3,2020,6.52%,147,
Mon,Apr,4/6,2020,4.87%,147,
Mon,Apr,4/6,2020,6.67%,150,
Mon,Apr,4/6,2020,2.65%,149,
Mon,Apr,4/13,2020,6.32%,148,
Fri,Apr,4/17,2020,1.67%,149,
Tue,Apr,4/22,2020,2.67%,149,
Fri,May,5/1,2020,2.78%,150,
Fri,May,5/1,2020,6.75%,147,
Wed,May,5/13,2020,2.19%,122,
Mon,May,5/18,2020,3.08%,122,
Mon,May,5/18,2020,4.00%,148,
Tue,May,5/19,2020,1.94%,122,
Thu,May,5/21,2020,1.40%,150,
Thu,May,5/29,2020,2.31%,147,
Mon,Jun,6/8,2020,3.50%,148,
Thu,Jun,6/11,2020,2.37%,149,
Mon,Jun,6/15,2020,4.25%,150,
Fri,Jun,6/26,2020,5.95%,150,
Fri,Jun,6/26,2020,5.16%,151,
Thu,Jul,7/2/2020,2020,3.21%,151,
Thu,Jul,7/2/2020,2020,2.71%,148,
Mon,Jul,7/6/2020,2020,3.50%,148,
Wed,Jul,7/29/2020,2020,5.00%,150,
Wed,Jul,7/29/2020,2020,2.27%,149,
Thu,Jul,7/30/2020,2020,3.04%,148,
Thu,Aug,8/6/2020,2020,3.80%,149,
Thu,Aug,8/6/2020,2020,1.96%,150,
Mon,Aug,8/10/2020,2020,3.43%,147,
Thu,Aug,8/20/2020,2020,4.41%,150,
Wed,Aug,8/26/2020,2020,7.33%,147,
Mon,Aug,8/31/2020,2020,14.29%,147,
Mon,Aug,8/31/2020,2020,9.05%,150,
Thu,Sep,9/3/2020,2020,6.25%,150,
Tue,Sep,9/15/2020,2020,2.17%,147,
Wed,Sep,9/16/2020,2020,1.45%,150,
Thu,Sep,9/17/2020,2020,1.56%,149,
Thu,Sep,9/17/2020,2020,14.13%,151,
Fri,Sep,9/18/2020,2020,2.63%,151,
Mon,Sep,9/21/2020,2020,4.42%,150,
Thu,Sep,9/24/2020,2020,1.67%,147,
Fri,Sep,9/25/2020,2020,2.33%,149,
Fri,Sep,9/25/2020,2020,9.72%,147,
Wed,Sep,9/30/2020,2020,1.90%,147,
Fri,Oct,10/2/2020,2020,3.33%,149,
Mon,Oct,10/5/2020,2020,4.84%,150,
Mon,Oct,10/5/2020,2020,10.87%,151,
Tue,Oct,10/6/2020,2020,2.50%,149,
Wed,Oct,10/7/2020,2020,2.50%,147,
Thu,Oct,10/8/2020,2020,1.67%,149,
Fri,Oct,10/9/2020,2020,3.06%,149,
Fri,Oct,10/9/2020,2020,2.90%,150,
Fri,Oct,10/23/2020,2020,6.67%,147,
Mon,Oct,10/26/2020,2020,5.95%,148,
Thu,Oct,10/29/2020,2020,5.00%,150,
Mon,Nov,11/2/2020,2020,2.78%,149,
Wed,Nov,11/4/2020,2020,2.92%,148,
