municipality,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%
North Westport,2007,96.0,78.0,0.6,9.6,2.2,3.2,0.0,3.6,2.0,0.7,79.7,20.3
South Amherst,1572,90.2,46.7,3.8,2.2,2.2,14.5,27.2,3.4,0.0,0.0,47.8,52.2
Chelsea,13907,95.4,6.6,4.9,21.2,27.1,9.2,6.0,24.5,0.3,0.2,25.9,74.1
Everett,17066,93.9,19.3,7.1,31.3,24.2,4.0,4.1,9.5,0.5,0.0,38.6,61.4
Harwich Port,2464,39.0,83.6,1.3,1.3,2.7,8.7,0.7,1.5,0.0,0.0,78.5,21.5
Monument Beach,1657,75.9,69.0,17.5,8.3,1.1,0.8,0.0,3.1,0.0,0.0,78.2,21.8
South Dennis,2729,57.4,81.1,2.0,3.0,1.9,2.2,3.1,0.0,6.7,0.0,76.2,23.8
Revere,20559,93.5,28.8,5.5,25.6,12.4,4.1,2.5,20.1,1.0,0.0,49.9,50.1
Vineyard Haven,1691,56.5,91.8,0.0,4.6,2.1,1.5,0.0,0.0,0.0,0.0,59.7,40.3
Granby,687,88.1,74.8,1.9,1.7,5.7,13.4,0.0,2.5,0.0,0.0,80.0,20.0
Hatfield,668,94.5,58.2,8.8,13.6,8.7,4.3,0.0,6.3,0.0,0.0,62.9,37.1
North Amherst,2132,86.4,31.1,6.9,9.8,10.4,17.5,12.3,11.9,0.0,0.0,33.9,66.1
Ware,3130,85.3,42.8,8.6,13.5,13.6,9.2,7.3,2.2,2.8,0.0,50.7,49.3
Millis-Clicquot,2063,93.5,55.9,9.7,2.5,6.5,4.9,11.0,9.5,0.0,0.0,76.0,24.0
Wellesley,8926,94.7,81.1,3.5,2.1,3.7,1.4,0.9,7.3,0.1,0.0,80.9,19.1
Marshfield Hills,884,95.5,95.9,1.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0,93.6,6.4
Plymouth,3820,86.6,40.8,6.9,15.7,11.2,5.1,12.1,8.2,0.0,0.0,51.7,48.3
Forestdale,1599,89.7,95.2,2.1,0.0,0.9,0.0,0.0,1.8,0.0,0.0,88.9,11.1
Barnstable,26395,71.2,81.9,2.8,2.5,4.8,3.7,1.4,2.8,0.0,0.0,75.0,25.0
Bridgewater,8531,95.3,64.7,5.8,6.3,5.2,3.2,7.1,5.8,2.0,0.0,71.6,28.4
Randolph,12381,95.6,60.2,10.8,3.2,2.5,3.4,6.2,13.6,0.0,0.0,67.9,32.1
Popponesset,451,15.5,93.6,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,85.7,14.3
Popponesset Island,47,36.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Provincetown,4417,35.5,40.1,8.2,13.9,25.7,6.8,1.5,3.3,0.6,0.0,78.7,21.3
Sagamore,1876,79.8,80.8,3.6,7.3,2.5,2.2,3.6,0.0,0.0,0.0,77.3,22.7
West Falmouth,1746,42.6,95.3,1.0,0.0,0.8,0.0,1.9,1.0,0.0,0.0,91.9,8.1
West Yarmouth,5189,49.0,75.6,8.6,2.1,2.3,3.6,2.0,5.7,0.0,0.0,75.8,24.2
Northfield,570,83.9,70.2,0.0,10.2,8.9,1.8,1.8,7.2,0.0,0.0,75.5,24.5
Westfield,16061,95.1,59.0,1.9,12.4,7.9,5.6,1.9,8.5,3.0,0.0,67.1,32.9
Attleboro,19084,92.4,56.5,5.9,8.8,10.2,5.1,4.2,5.6,3.5,0.2,69.0,31.0
Duxbury,715,87.8,89.7,2.5,2.5,0.0,5.3,0.0,0.0,0.0,0.0,89.8,10.2
