municipality,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Wrentham,11823,106.3,43.4,95.8,3.2,0.1,1.0,0.0,0.2,2.9
Sterling,8091,91.2,46.8,97.7,1.7,0.0,0.6,0.0,1.1,5.1
Williamsburg,2443,103.8,47.8,100.0,0.0,0.0,0.0,0.0,0.0,1.1
Medway,13325,86.9,41.6,94.5,3.5,0.8,2.9,0.0,2.0,2.6
Buckland,113,130.6,60.4,100.0,15.0,15.0,15.0,0.0,0.0,0.0
Rowe,639,86.8,39.2,98.6,1.4,3.6,0.0,0.0,0.9,3.9
Pembroke,18380,95.8,43.8,97.1,1.5,0.8,1.8,0.0,1.2,1.5
Mashpee,14148,86.0,52.7,88.1,4.8,5.7,2.8,0.2,1.3,0.6
Becket,2443,105.1,52.2,95.9,3.8,1.2,0.3,0.0,1.9,3.3
Dalton,6769,91.1,50.7,97.9,0.4,0.3,1.6,0.0,0.1,2.1
Hampden,5178,99.5,51.5,97.2,0.2,0.6,1.0,0.0,1.8,3.7
Plainfield,648,112.5,52.0,96.1,2.5,1.9,2.3,0.0,0.9,4.0
Ashland,17710,94.5,42.0,84.4,3.1,0.9,11.8,0.0,1.9,7.0
Berkley,6730,98.7,43.2,98.6,0.4,0.2,0.0,1.1,1.4,0.1
Lakeville,11420,101.9,44.3,96.5,2.7,1.1,1.0,0.1,0.9,2.8
Southampton,6144,104.8,47.9,97.3,1.3,0.0,3.1,0.0,0.0,0.0
Hanover,14459,94.2,41.9,97.7,1.7,0.0,0.4,0.0,0.9,0.6
Swansea,16567,105.1,45.8,98.2,0.2,0.4,1.8,0.0,0.9,0.5
Canton,23369,91.1,42.6,84.3,6.2,0.6,8.2,0.1,2.6,4.1
Middleborough,24802,104.9,44.8,96.3,2.6,0.9,1.1,0.1,0.9,2.4
Wareham,10608,88.4,43.5,89.0,8.4,3.1,1.3,0.8,5.2,4.1
Hinsdale,2567,102.3,51.1,99.4,0.5,0.6,0.3,0.2,1.3,1.6
Ludlow,21291,105.2,44.1,94.9,2.1,0.3,2.4,0.0,3.0,8.6
North Attleborough,27474,93.3,40.1,90.1,3.0,0.3,7.2,0.4,2.2,6.0
Raynham,14488,85.1,42.3,96.9,1.7,0.0,2.4,0.0,1.3,2.0
Weston,12112,91.6,45.1,82.3,2.2,0.2,16.4,0.0,2.8,3.8
Savoy,680,123.0,52.3,90.9,10.1,0.9,0.0,0.0,0.1,3.2
Seekonk,15441,87.0,45.0,95.9,2.3,0.1,1.9,0.5,2.5,2.5
Bolton,5299,105.0,43.0,95.2,0.5,0.0,5.8,0.5,0.6,1.4
East Bridgewater,14466,91.5,37.8,93.0,5.0,0.5,3.5,0.0,1.6,2.1
Sheffield,2017,111.9,53.2,100.0,0.0,0.0,0.0,0.0,0.0,2.3
Halifax,7842,87.3,41.7,96.6,2.7,0.1,0.4,0.0,0.7,0.7
West Bridgewater,7198,95.6,43.9,97.2,3.1,0.0,1.0,0.0,0.0,3.1
Gill,1596,149.0,48.8,91.1,6.0,0.7,3.0,0.0,0.3,0.6
Eastham,4876,85.5,60.2,93.7,1.7,1.3,3.6,0.0,1.0,0.9
Bernardston,2532,109.1,50.5,99.4,0.0,0.0,0.0,0.0,0.8,0.4
Norfolk,11309,140.4,41.8,88.7,7.3,0.3,2.0,0.0,3.4,7.1
Sherborn,4316,85.2,46.6,92.6,1.6,0.0,8.4,0.0,1.0,2.2
Auburn,16619,95.0,45.0,96.0,1.8,0.8,2.1,0.1,0.7,4.6
Shelburne,3852,88.8,52.5,95.1,1.3,0.2,4.6,0.5,0.0,1.1
Millbury,13732,91.1,44.9,94.4,3.0,0.5,2.9,0.5,1.5,1.2
Conway,1929,106.1,51.1,99.3,0.0,0.6,0.2,0.0,0.5,2.7
Marion,5132,91.1,50.2,91.7,2.9,0.0,3.3,0.0,6.0,4.4
Chilmark,1753,93.1,47.4,89.9,4.6,9.8,1.2,0.0,0.6,6.7
Acushnet,10529,92.9,47.1,94.3,1.3,1.0,2.2,0.0,4.5,3.4
Chelmsford,25754,96.6,44.7,88.9,0.7,0.4,10.6,0.0,0.8,2.9
Acton,22791,94.9,44.1,71.7,1.8,0.4,27.9,0.3,0.6,3.3
Westford,24342,97.2,43.2,79.0,0.9,0.5,21.2,0.0,0.0,1.5
Amherst,30014,92.9,23.4,80.2,8.8,1.4,12.7,0.7,2.3,7.5
Leicester,6654,89.4,42.3,96.8,3.4,0.1,1.2,0.1,0.0,2.4
Ashfield,1276,98.4,55.2,98.1,0.5,0.9,2.8,0.0,1.8,3.1
Erving,1380,83.8,45.5,96.4,1.9,2.0,1.4,0.0,0.9,3.7
Berlin,3182,92.8,49.7,98.7,0.4,0.0,2.4,0.0,0.0,0.2
Dartmouth,22947,95.3,36.3,91.3,5.7,0.6,3.5,0.1,1.5,2.9
Egremont,8525,88.4,49.6,94.1,3.2,0.2,1.1,0.2,2.3,5.7
Florida,15466,102.1,43.2,94.8,4.4,1.8,1.0,0.2,2.8,5.8
Hamilton,8031,102.3,41.1,92.9,1.0,0.2,6.5,0.2,0.5,1.5
Middlefield,268,76.3,61.2,94.4,0.0,4.9,2.6,0.0,0.0,0.0
Monroe,87,102.3,57.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Washington,488,125.9,50.1,88.1,0.2,8.4,0.4,0.2,2.9,7.8
New Marlborough,540,94.2,59.4,98.7,1.5,0.0,0.0,0.0,0.6,0.6
Phillipston,13486,87.2,43.8,95.2,2.8,0.7,1.5,0.0,3.3,4.9
Truro,687,94.6,60.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyringham,206,70.2,55.5,92.7,1.0,0.0,0.0,0.0,6.3,15.0
West Tisbury,2418,72.6,54.9,97.1,3.4,1.4,1.0,0.3,0.6,2.6
Westhampton,17818,96.0,45.0,95.9,2.4,0.4,3.1,0.0,1.3,4.2
Whately,313,104.6,52.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
