municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Danvers,20248,93.7,43.2,23031.0,3.7,89250.0,110199.0,5.0,7.1,11128.0,96.1,57.9,5.9,6.9,5.1,7.9,3.7,11.6,1.0,0.1,71.3,28.7,27586.0,84.0,44.6,93.9,3.4,0.8,3.6,0.1,1.1,5.1
Dedham,18618,95.2,53.3,20987.0,3.7,100757.0,131790.0,2.4,4.5,10577.0,94.9,65.1,4.1,8.0,4.9,2.6,1.5,13.3,0.4,0.0,72.1,27.9,25283.0,86.8,42.9,86.6,8.5,0.4,3.7,0.1,3.3,8.7
Deerfield,1793,95.75504740658114,54.34958170663691,1476.3050752928054,4.711154489682097,-115570023.67094256,106340.9196876743,3.1408812046848853,8.483045175683213,722.0117122141662,98.9254880089236,68.41416620189626,0.0,13.493809258226436,6.355047406581149,1.653095370886782,10.00122699386503,0.0,0.0,0.0,62.89397657557167,37.10602342442834,1794.6977133296152,102.89860568878973,43.14088120468489,95.31059676519799,5.904629113218071,0.24796430563301727,2.718237590630228,0.9092024539877301,0.22548800892359175,4.127440044617959
Dennis,11401,95.96869572844489,41.32305938075608,2523.903078677309,5.223761073590036,66612.2913779493,89144.42724322427,5.947381808613279,8.814279449171126,3244.6168757126566,45.975247785281994,82.82455924918867,2.884904832909394,3.425787211648101,2.9462766423997895,2.25548636084554,2.3698535216209105,1.4972633979475485,1.7775984562757654,0.0,73.91241996316113,26.087580036838872,2852.1092009472854,90.95799491272696,57.91515656521357,93.56510832383125,4.331567406367863,1.1287957196737128,1.0334181212174371,0.06697658100166652,1.0570563985615298,2.0466713446188933
Devens,1624,96.5,30.9,1755.0,1.8,92426.0,118557.0,4.1,21.3,239.0,100.0,34.3,18.4,8.8,35.6,2.9,0.0,0.0,0.0,0.0,76.6,23.4,1969.0,443.9,43.1,64.4,20.4,2.5,12.0,0.6,5.6,14.0
Douglas,1889,94.9,36.7,2205.0,3.8,73841.0,107166.0,0.0,3.0,1184.0,89.2,53.3,2.8,9.6,4.1,10.4,8.7,9.8,1.4,0.0,61.39999999999999,38.6,2592.0,99.2,48.4,94.0,0.0,2.2,5.4,0.0,0.6,7.1000000000000005
Dover,1617,99.4,80.8,1887.0,1.6,216250.0,355097.0,0.0,0.5,853.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,5.2,2539.0,107.4,43.9,89.5,0.0,0.0,14.1,0.0,0.0,0.4
Duxbury,3528,98.31292517006803,78.19353741496599,2326.768140589569,6.077324263038548,163608.30839002266,224479.12868480725,2.2483560090702945,3.0515873015873014,1188.5289115646258,89.15487528344671,92.2065192743764,4.261337868480726,0.80640589569161,0.5419501133786848,2.1160430839002267,0.0,0.0,0.0,0.0,91.15487528344671,8.845124716553288,2963.87641723356,100.84518140589569,48.11921768707483,97.95804988662131,0.0,0.2032312925170068,1.6354875283446713,0.0,0.2032312925170068,0.9645124716553288
Eastham,13891,96.65851990497444,40.66973580015838,15332.0,6.316984085572659,64224.849726063134,79490.02400208714,4.256170101747978,9.2,10710.0,75.67469654528477,65.07404295051354,3.8747899159663866,9.03828197945845,8.466760037348273,5.1495798319327735,4.434360410830999,3.933706816059757,0.0715219421101774,0.0,68.7029878618114,31.29701213818861,17572.0,94.95328932392442,46.269610744366034,95.54586842704302,2.452310493967676,0.49173685408604595,3.244047348053722,0.0,1.354131572956977,4.215615752333258
Edgartown,496,98.6,44.2,508.0,0.0,58750.0,82355.0,0.0,0.0,806.0,28.0,91.4,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,68.6,31.4,508.0,59.2,61.0,96.1,3.7,0.0,0.0,0.0,0.2,0.6
Essex,1046,98.3,58.1,1180.0,4.9,114479.0,126180.0,2.7,7.0,675.0,89.0,64.0,9.9,19.9,6.2,0.0,0.0,0.0,0.0,0.0,86.0,14.0,1393.0,89.3,47.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Everett,31559,81.8,20.0,36938.0,5.2,65528.0,78819.0,10.9,12.6,17066.0,93.9,19.3,7.1,31.3,24.2,4.0,4.1,9.5,0.5,0.0,38.6,61.4,46118.0,97.5,35.9,61.7,21.1,1.5,9.6,0.1,10.9,28.3
Fall River,62973,74.6,15.4,72650.0,8.4,43503.0,57807.0,17.3,19.7,42689.0,90.1,23.3,1.5,11.9,33.5,16.5,4.7,8.5,0.1,0.1,36.3,63.7,89388.0,94.3,39.6,84.6,8.3,2.1,2.1,0.1,7.5,10.5
Falmouth,11563,92.15842774366513,45.60334688229698,3806.7279252789067,3.8608665571218546,74835.74989189657,107274.95018593791,4.273985989795036,5.055495978552279,3495.7018939721524,57.068139756118654,85.93958315316095,2.8407160771426097,2.5797457407247255,3.7916025252962036,1.4969817521404478,0.7060105508950965,2.6878491740897688,0.0,0.0,74.736365994984,25.263634005015998,4391.156879702499,85.92584969298625,57.239384242843556,94.59554613854534,3.19803684165009,1.086992994897518,2.1080601919916977,0.053463634005016004,2.184969298624924,1.678465796073683
Fiskdale,2145,96.8,42.4,2412.0,4.7,70952.0,88973.0,5.0,7.7,1192.0,100.0,59.0,5.5,2.9,3.4,3.9,3.5,21.7,0.0,0.0,59.4,40.6,3087.0,84.4,38.1,96.2,0.1,0.0,3.7,0.0,0.0,2.7
Fitchburg,26208,85.1,21.0,32434.0,8.3,57207.0,70654.0,11.3,15.7,16575.0,90.3,42.4,6.1,13.9,17.9,6.0,2.7,10.1,0.8,0.0,53.5,46.5,40702.0,99.7,35.5,84.4,7.4,1.4,2.9,0.4,8.6,28.8
Forestdale,2813,96.6,30.0,3271.0,2.5,98182.0,109514.0,4.1,3.7,1599.0,89.7,95.2,2.1,0.0,0.9,0.0,0.0,1.8,0.0,0.0,88.9,11.1,3791.0,90.6,49.4,99.6,0.0,0.5,0.4,0.0,0.0,0.7
Foxborough,4685,88.8,45.3,5176.0,6.8,70530.0,108565.0,3.8,10.8,2728.0,100.0,28.4,9.8,5.4,12.6,36.5,3.7,3.5,0.0,0.0,40.3,59.7,6296.0,103.4,45.1,85.4,15.3,0.3,6.2,0.0,0.0,6.5
Framingham,51702,90.3,47.6,59667.0,5.0,82709.0,106832.0,5.7,8.4,29449.0,95.8,50.3,6.1,6.9,6.5,3.6,6.4,19.8,0.2,0.1,53.9,46.1,72308.0,96.6,38.9,71.6,8.6,0.9,8.5,0.4,12.7,16.1
Franklin,21806,97.3,55.7,26502.0,4.1,122607.0,148748.0,2.5,4.0,12192.0,97.9,66.6,9.8,4.8,4.3,2.9,4.0,7.6,0.0,0.0,80.7,19.3,33256.0,92.9,41.1,92.9,2.5,0.2,6.6,0.0,0.3,1.6
Gardner,15014,89.0,18.3,16978.0,3.9,49679.0,68349.0,9.0,13.9,9125.0,90.2,47.4,3.2,10.7,13.2,5.5,5.6,12.6,1.7,0.1,52.0,48.0,20610.0,106.6,41.0,90.9,5.4,1.2,3.7,0.0,3.1,9.3
Gloucester,23175,92.5,39.9,25671.0,4.4,72574.0,96980.0,6.2,10.0,14878.0,88.1,56.1,5.5,15.3,11.7,4.0,2.3,5.2,0.0,0.0,64.0,36.0,30162.0,93.8,50.9,95.8,3.2,0.4,2.4,0.0,0.5,2.4
Granby,1023,94.9,47.2,1193.0,4.7,96397.0,99932.0,0.0,2.5,687.0,88.1,74.8,1.9,1.7,5.7,13.4,0.0,2.5,0.0,0.0,80.0,20.0,1272.0,97.8,50.2,98.3,0.0,0.0,1.4,1.4,1.7,12.7
Great Barrington,1677,90.5,44.1,1796.0,2.9,49368.0,70188.0,0.0,6.1,1274.0,82.8,40.4,1.1,16.7,4.8,19.2,9.2,7.7,0.9,0.0,53.5,46.5,2070.0,85.3,49.3,94.8,3.9,0.0,0.0,0.0,2.9,8.9
Green Harbor-Cedar Crest,2160,92.0,38.6,2349.0,7.8,111250.0,114958.0,0.0,2.5,1427.0,68.3,96.1,1.2,0.0,2.7,0.0,0.0,0.0,0.0,0.0,85.9,14.1,2703.0,83.0,53.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenfield,13178,91.4,34.7,14709.0,5.1,50478.0,68274.0,6.7,11.4,8521.0,94.6,49.0,4.6,12.5,13.6,9.4,3.0,6.9,0.9,0.0,56.3,43.7,17375.0,98.9,43.7,92.5,3.5,0.4,2.4,0.1,3.6,7.7
Groton,812,87.9,45.3,1058.0,9.2,65303.0,139255.0,4.0,9.7,516.0,100.0,50.2,2.5,13.8,7.6,8.3,1.4,16.3,0.0,0.0,55.2,44.8,1345.0,111.1,41.3,90.9,1.9,9.2,8.4,0.0,0.0,2.1
Hanscom AFB,998,99.8,57.3,1220.0,4.9,108056.0,110557.0,0.0,0.0,577.0,96.0,31.0,60.0,0.0,6.6,1.0,0.0,1.4,0.0,0.0,0.0,100.0,2045.0,124.2,24.4,84.0,5.9,0.0,16.0,0.0,0.2,13.7
Hanson,1251,97.8,30.8,1510.0,2.7,97500.0,108544.0,3.9,3.7,673.0,92.1,97.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,97.3,2.7,1769.0,104.5,44.6,99.4,1.3,0.0,0.6,0.0,0.0,1.5
Harwich,9664,96.64200124172186,47.55353890728477,10651.0,5.916758989766219,75796.72237348606,90605.95483992113,3.4165430476011642,6.387005914937564,10585.0,51.32994803967879,90.19082664147378,2.510958904109589,1.2526027397260273,1.14235238545111,2.7729050543221536,0.6105621162021729,1.3362116202172885,0.06851204534718942,0.0,84.26871043930089,15.731289560699103,12147.0,90.51246398287643,57.0177492384951,94.69654235613731,3.7827035482012015,0.6686753931011772,0.5610932740594385,0.11844899975302543,1.7760105375812956,2.2328064542685433
Hatfield,1030,99.2,33.4,1191.0,1.8,64688.0,84899.0,0.0,4.8,668.0,94.5,58.2,8.8,13.6,8.7,4.3,0.0,6.3,0.0,0.0,62.9,37.1,1305.0,91.6,54.0,93.6,1.0,1.7,0.0,0.0,3.8,6.4
Haverhill,43435,90.8,29.8,50420.0,5.2,69426.0,86187.0,10.0,12.5,25641.0,94.6,40.2,12.5,12.8,12.1,6.9,5.5,9.7,0.2,0.0,57.1,42.9,63533.0,93.4,36.8,83.7,6.3,0.7,2.2,0.4,11.2,23.2
Hingham,4160,98.4,76.9,4897.0,3.8,161607.0,261675.0,0.0,2.8,2234.0,99.6,84.2,2.8,4.2,4.3,0.0,0.0,4.5,0.0,0.0,85.7,14.3,6461.0,83.4,43.1,99.0,0.7,0.0,0.3,0.0,0.0,0.5
Holbrook,7909,93.5,28.2,9460.0,2.5,76055.0,95665.0,3.1,5.7,4355.0,95.8,76.0,0.0,3.7,4.7,2.7,3.7,6.4,2.7,0.0,81.4,18.6,11045.0,87.9,44.2,76.5,19.2,0.9,4.5,0.0,3.2,6.6
Holland,1068,93.6,25.6,1288.0,4.0,67454.0,93390.0,2.4,5.5,999.0,62.0,97.6,0.0,0.4,0.0,0.0,0.0,1.5,0.5,0.0,84.3,15.7,1547.0,104.4,42.4,99.2,0.3,0.3,0.3,0.0,0.3,1.7
Holyoke,26855,79.4,21.5,31987.0,6.0,40769.0,59685.0,25.4,29.3,16981.0,90.0,32.9,4.0,14.4,11.1,16.7,9.7,11.1,0.1,0.0,40.7,59.3,40241.0,94.0,35.2,89.7,6.3,0.8,1.1,0.1,5.0,53.9
Hopedale,2472,94.9,40.3,2774.0,7.1,107278.0,107169.0,3.3,4.9,1413.0,93.3,52.1,22.3,14.2,5.2,3.8,0.0,2.5,0.0,0.0,76.0,24.0,3363.0,101.6,47.8,98.0,0.6,0.0,1.2,0.0,1.3,0.4
Hopkinton,2005,90.5,57.6,2419.0,9.9,112014.0,160907.0,0.0,2.5,1173.0,96.1,64.4,13.0,2.9,11.3,1.7,0.0,6.7,0.0,0.0,71.1,28.9,3098.0,64.0,40.6,95.6,3.3,0.1,4.2,0.0,0.4,4.7
Housatonic,528,85.4,25.2,695.0,0.0,35481.0,58525.0,11.8,14.1,488.0,90.8,64.8,0.0,4.9,30.3,0.0,0.0,0.0,0.0,0.0,61.2,38.8,753.0,81.9,57.6,88.8,0.0,0.0,0.0,0.0,11.2,20.1
Hudson,11285,89.9,40.4,12905.0,3.2,82431.0,100724.0,5.6,5.7,6434.0,96.6,49.3,5.6,10.8,10.6,6.2,6.9,7.4,3.2,0.0,68.9,31.1,15346.0,95.2,43.9,94.4,1.3,0.3,3.0,0.0,1.4,7.0
Hull,8428,96.2,45.8,9263.0,6.7,88476.0,113431.0,2.8,4.8,5907.0,80.7,65.9,2.4,4.8,7.2,7.3,4.7,7.6,0.2,0.0,71.7,28.3,10455.0,86.4,53.5,98.1,1.0,0.7,2.0,0.0,0.3,1.7
Huntington,492,84.8,11.6,567.0,3.4,52500.0,56334.0,6.0,9.0,361.0,90.3,60.7,1.7,7.2,11.1,9.1,1.9,0.0,8.3,0.0,63.2,36.8,634.0,98.1,40.9,97.5,0.0,2.8,0.0,0.0,2.1,2.1
Ipswich,3424,95.3,47.1,3851.0,6.8,65893.0,89351.0,5.6,9.6,2225.0,94.9,37.8,10.7,14.0,22.4,10.9,2.6,0.4,1.2,0.0,57.1,42.9,4699.0,84.6,44.4,93.3,4.2,0.3,3.4,0.0,0.9,3.6
Kingston,4261,97.3,39.7,4936.0,2.5,90754.0,110433.0,1.2,3.0,2748.0,88.8,67.9,5.2,6.5,10.2,5.5,3.6,0.5,0.7,0.0,70.2,29.8,6278.0,99.4,41.9,99.1,2.4,0.0,0.0,0.0,0.9,5.3
Lakeville,2254,95.1,36.7,2513.0,3.8,75509.0,103144.0,6.6,5.5,1312.0,96.2,62.70000000000001,5.9,4.0,6.900000000000001,4.7,1.7999999999999998,14.0,0.0,0.0,64.3,35.7,3114.0,100.1,42.9,91.5,8.0,2.2,0.6,0.0,2.1,3.9
Lawrence,49650,67.0,10.8,61396.0,9.3,44613.0,59685.0,19.0,21.4,27681.0,93.8,20.1,7.3,14.7,30.4,7.8,5.0,14.5,0.1,0.1,31.0,69.0,79942.0,95.8,32.3,55.2,7.6,0.5,1.9,0.3,37.6,80.6
Lee,1355,91.0,28.4,1511.0,3.9,55686.0,70047.0,0.0,2.3,867.0,87.9,49.4,0.0,16.7,2.3,18.1,5.9,7.6,0.0,0.0,45.1,54.9,1717.0,113.6,44.1,86.4,1.0,0.0,0.2,0.0,12.3,2.2
Lenox,1559,95.1,46.9,1738.0,6.0,49167.0,89605.0,0.0,7.2,1111.0,91.8,32.3,0.0,6.6,4.1,11.4,9.2,36.5,0.0,0.0,41.1,58.9,1899.0,68.4,61.5,97.3,1.6,0.6,0.9,0.0,1.3,6.2
Leominster,29419,88.0,29.2,33595.0,5.9,61825.0,81488.0,10.2,12.6,17725.0,95.0,46.5,5.3,9.9,10.6,7.5,7.7,11.7,0.9,0.0,57.8,42.2,41606.0,90.6,40.5,84.5,8.6,1.1,4.1,0.1,5.8,18.4
Lexington,22787,98.4,84.7,25723.0,3.6,186201.0,231819.0,2.0,3.2,12154.0,97.2,76.6,6.5,2.5,2.4,1.7,3.7,6.6,0.0,0.0,81.7,18.3,33340.0,93.9,45.7,67.1,2.6,0.5,32.6,0.2,1.1,2.1
Littleton,2391,98.0,49.7,2699.0,4.3,107907.0,124533.0,6.300000000000001,7.099999999999999,1306.0,100.0,90.5,1.0,1.4,4.7,2.4,0.0,0.0,0.0,0.0,90.6,9.4,3293.0,90.0,45.3,95.29999999999998,0.6,1.5,6.5,0.0,0.0,1.6
Lowell,72095,81.9,24.1,90068.0,5.8,56878.0,72670.0,13.7,19.0,41786.0,94.3,31.7,5.6,15.9,12.3,9.5,8.7,16.1,0.1,0.1,42.3,57.7,111306.0,99.9,33.5,63.2,9.4,1.1,23.7,0.3,5.1,18.1
Lunenburg,1307,95.3,37.3,1507.0,2.6,113750.0,122202.0,1.5,2.9,741.0,92.3,90.1,2.4,1.3,6.1,0.0,0.0,0.0,0.0,0.0,95.6,4.4,1778.0,81.2,44.4,99.5,0.1,0.0,4.9,0.0,0.0,0.2
