municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
West Yarmouth,4477.0,90.3,34.7,4928.0,2.7,61956.0,78616.0,6.0,6.699999999999999,5189.0,49.0,75.6,8.6,2.1,2.3,3.6,2.0,5.7,0.0,0.0,75.8,24.2,5741.0,80.9,48.8,86.3,6.0,0.9000000000000001,6.200000000000001,1.2,4.4,5.1
Yarmouth Port,4404.0,97.5,53.0,4738.0,2.0,74737.0,99238.0,4.3,5.7,3278.0,80.0,78.5,10.0,1.3000000000000003,1.6,0.8,1.6,6.299999999999999,0.0,0.0,91.4,8.6,5242.0,77.8,63.3,99.8,0.2,0.6,0.0,0.0,0.0,1.8
South Yarmouth,8793.0,95.1,28.8,9816.0,5.9,61088.0,76609.0,3.9000000000000004,7.199999999999999,7771.0,62.7,83.1,3.5,3.4,1.4,2.7,1.2,4.6,0.0,0.0,73.3,26.7,11091.0,88.0,52.4,91.9,4.5,0.7,2.7,0.3,2.6,2.2
Yarmouth,17674.0,94.48214326128776,36.324674663347295,19482.0,4.142079868596653,64626.982958628476,82620.0203264552,4.528477569038086,6.708726003490401,16238.0,61.814429116886316,79.7746951595024,6.441920187215174,2.560641704643429,1.7279775834462374,2.6040460647863037,1.536396107895061,5.294697622859958,0.0,0.0,77.75278359403868,22.247216405961325,22074.0,83.73119960134095,54.052179034157824,92.31959771677086,3.86898160732083,0.728268551236749,2.9690993929509832,0.4628295732536015,2.450711243997463,2.8592416417504753
